epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.233,0.88119,0.48782,0.97935,0.97349,0.98661,0.9927,0.75629,0.91184,0.46251,1.04206,0.0014588,0.0014588,0.0014588
43,434.685,0.85748,0.48612,0.9701,0.97361,0.98813,0.99369,0.73562,0.93588,0.47863,1.05287,0.0014456,0.0014456,0.0014456
44,443.284,0.86873,0.48681,0.98567,0.98491,0.97768,0.99131,0.75928,0.92425,0.46693,1.05212,0.0014324,0.0014324,0.0014324
45,451.812,0.85866,0.47774,0.96169,0.95242,0.98291,0.98999,0.74943,0.95813,0.47162,1.06948,0.0014192,0.0014192,0.0014192
46,460.344,0.88082,0.48859,0.97595,0.96467,0.97531,0.99173,0.72954,0.97111,0.47834,1.08552,0.001406,0.001406,0.001406
47,468.911,0.8527,0.47159,0.97465,0.96826,0.97768,0.98568,0.72892,0.93834,0.49815,1.09212,0.0013928,0.0013928,0.0013928
48,477.391,0.8565,0.54887,0.9804,0.97676,0.99107,0.99364,0.7492,0.90698,0.47941,1.05469,0.0013796,0.0013796,0.0013796
49,485.911,0.84118,0.47272,0.97041,0.9851,0.98214,0.9907,0.7648,0.89819,0.44626,1.07388,0.0013664,0.0013664,0.0013664
50,494.541,0.85288,0.48019,0.97674,0.98411,0.97321,0.99263,0.76357,0.88123,0.45516,1.04675,0.0013532,0.0013532,0.0013532
51,503.035,0.85731,0.47007,0.96697,0.96085,0.98613,0.99162,0.7399,0.90758,0.46087,1.07096,0.00134,0.00134,0.00134
52,511.725,0.81625,0.45175,0.96393,0.95225,0.97929,0.98433,0.74372,0.88197,0.46093,1.05206,0.0013268,0.0013268,0.0013268
53,520.315,0.81207,0.45521,0.94657,0.96921,0.98385,0.99348,0.76121,0.90664,0.47163,1.07193,0.0013136,0.0013136,0.0013136
54,528.857,0.84098,0.46513,0.96553,0.9604,0.97433,0.9875,0.73494,0.91459,0.46573,1.05269,0.0013004,0.0013004,0.0013004
55,537.988,0.81603,0.44968,0.95016,0.96278,0.98214,0.9909,0.7392,0.92701,0.46463,1.06253,0.0012872,0.0012872,0.0012872
56,547.072,0.83696,0.45654,0.96027,0.95608,0.97173,0.98766,0.72204,0.97251,0.49277,1.05524,0.001274,0.001274,0.001274
57,556.137,0.81998,0.45781,0.96392,0.96662,0.96875,0.99124,0.75522,0.93499,0.4905,1.05895,0.0012608,0.0012608,0.0012608
58,565.342,0.81802,0.44715,0.96116,0.97236,0.97321,0.99062,0.75256,0.86913,0.46437,1.03011,0.0012476,0.0012476,0.0012476
59,574.446,0.81944,0.44096,0.95922,0.98122,0.97321,0.99259,0.75454,0.93126,0.46716,1.0584,0.0012344,0.0012344,0.0012344
60,583.414,0.78148,0.43679,0.93528,0.97634,0.97321,0.99198,0.75755,0.87723,0.43737,1.04899,0.0012212,0.0012212,0.0012212
61,592.568,0.80038,0.42745,0.94818,0.98204,0.97648,0.99186,0.74232,0.94426,0.45038,1.03424,0.001208,0.001208,0.001208
62,601.942,0.82535,0.44211,0.95999,0.95637,0.97857,0.9918,0.73698,0.92077,0.47009,1.05815,0.0011948,0.0011948,0.0011948
63,611.053,0.85992,0.46354,0.97269,0.95983,0.98214,0.98853,0.77024,0.85518,0.44663,1.01658,0.0011816,0.0011816,0.0011816
64,620.119,0.77746,0.42706,0.93352,0.96069,0.98661,0.99082,0.77435,0.86903,0.43702,1.02714,0.0011684,0.0011684,0.0011684
65,629.176,0.79895,0.43679,0.94342,0.97783,0.98463,0.99149,0.76207,0.86007,0.43236,1.03573,0.0011552,0.0011552,0.0011552
66,638.241,0.80251,0.43346,0.9592,0.97526,0.97321,0.99142,0.74512,0.92549,0.44903,1.03636,0.001142,0.001142,0.001142
67,647.375,0.82756,0.44369,0.95426,0.96716,0.97768,0.99197,0.75614,0.8826,0.45925,1.02751,0.0011288,0.0011288,0.0011288
68,656.538,0.79802,0.43206,0.94295,0.97812,0.97768,0.99194,0.76938,0.86589,0.42517,1.02859,0.0011156,0.0011156,0.0011156
69,665.652,0.77596,0.42203,0.92406,0.95644,0.98013,0.9876,0.77299,0.82032,0.43245,1.0191,0.0011024,0.0011024,0.0011024
70,674.674,0.77661,0.42456,0.93577,0.9685,0.96071,0.98787,0.7787,0.88401,0.44934,1.01386,0.0010892,0.0010892,0.0010892
71,683.768,0.76831,0.42528,0.92938,0.96072,0.99107,0.99302,0.77906,0.84179,0.43339,1.01375,0.001076,0.001076,0.001076
72,692.88,0.76482,0.41542,0.93065,0.97345,0.98214,0.99003,0.77826,0.85938,0.43988,1.00984,0.0010628,0.0010628,0.0010628
73,701.975,0.77404,0.43007,0.94539,0.96632,0.98214,0.98962,0.78278,0.86725,0.44151,1.03124,0.0010496,0.0010496,0.0010496
74,711.185,0.78272,0.42168,0.9292,0.96733,0.96429,0.99052,0.77163,0.87231,0.43177,1.02208,0.0010364,0.0010364,0.0010364
75,720.263,0.7699,0.42024,0.93308,0.96923,0.98428,0.99207,0.78346,0.8491,0.41762,1.01727,0.0010232,0.0010232,0.0010232
76,729.318,0.73846,0.40295,0.92456,0.96456,0.9719,0.9912,0.78087,0.84023,0.42354,1.02471,0.00101,0.00101,0.00101
77,738.626,0.7624,0.423,0.93343,0.98193,0.9704,0.99243,0.78256,0.84117,0.41587,1.0374,0.0009968,0.0009968,0.0009968
78,747.885,0.74946,0.41163,0.9284,0.96398,0.97321,0.98796,0.78116,0.83315,0.43055,1.02466,0.0009836,0.0009836,0.0009836
79,757.088,0.75339,0.40707,0.9358,0.96426,0.99107,0.99324,0.78187,0.84683,0.41626,1.03091,0.0009704,0.0009704,0.0009704
80,766.223,0.75565,0.40912,0.92928,0.96736,0.98661,0.99308,0.78899,0.81822,0.41495,1.02691,0.0009572,0.0009572,0.0009572
81,775.414,0.7458,0.41699,0.93018,0.98194,0.97066,0.99356,0.78056,0.82398,0.41443,1.01125,0.000944,0.000944,0.000944
82,784.586,0.7334,0.39643,0.92079,0.97367,0.99056,0.99374,0.77724,0.8748,0.41237,1.03225,0.0009308,0.0009308,0.0009308
83,793.686,0.75781,0.40291,0.927,0.97791,0.98801,0.99211,0.77095,0.90418,0.42498,1.05163,0.0009176,0.0009176,0.0009176
84,802.826,0.76065,0.41293,0.9219,0.96378,0.99107,0.98949,0.78026,0.85554,0.42536,1.02959,0.0009044,0.0009044,0.0009044
